10:02:17.25 -59:20:13.8
11:52:21.37 -61:10:22.4
12:27:13.13 -63:09:53.5
12:44:29.80 -64:02:38.7
12:48:15.87 -64:43:20.7
12:55:21.24 -62:48:40.6
13:49:18.45 -63:56:24.4
15:25:21.93 -55:23:19.1
15:28:24.61 -55:44:16.7
15:32:22.27 -56:07:01.9
15:38:34.41 -56:21:01.6
16:12:57.05 -49:27:19.9
16:16:28.90 -50:16:01.3
16:21:46.91 -48:48:02.9
16:33:28.14 -49:53:25.8
16:38:08.26 -44:43:37.9
16:49:18.84 -39:33:22.6
16:58:51.77 -47:10:37.5
17:08:55.11 -36:42:31.5
17:11:25.58 -37:23:43.7
17:20:54.38 -36:53:15.1
17:22:56.94 -38:23:33.9
17:31:00.38 -33:25:27.6
17:32:27.54 -35:09:38.4
17:34:48.65 -31:01:30.4
17:38:19.41 -27:35:32.9
17:41:53.70 -34:19:38.7
17:45:57.33 -27:58:20.6
17:50:10.72 -28:45:36.5
17:55:14.42 -26:03:53.7
17:59:24.39 -24:02:44.3
18:11:39.28 -17:18:32.6
18:24:53.99 -13:52:28.3
18:25:08.19 -11:11:33.8
18:29:07.17 -10:11:09.7
18:30:08.32 -10:39:36.1
18:33:05.39 -02:10:36.9
18:34:34.67 -09:11:53.9
18:35:22.92 -09:27:34.1
18:35:30.120 -09:21:11.000
18:36:19.03 -11:15:10.3
18:38:56.65 -01:05:14.8
18:40:00.92 -02:23:26.9
18:40:29.68 -03:33:38.7
18:42:52.56 -07:59:22.3
18:43:25.09 -05:09:55.9
18:43:53.76 -03:06:15.3
18:47:22.2 -04:29:44.5
19:18:06.5 -65:53:01.4
20:49:51.1 -55:01:56.6
20:55:14.89 -67:13:52.6
06:20:40.1 -58:57:42.7
09:51:24.620 -71:19:01.100
14:00:04 -40:41:45
15:19:01.78 -39:52:03.7
12:01:04.02 -45:47:46.2
18:35:47.29 -08:46:25.6
18:24:53.61 -01:33:20.3
19:03:13.04 -08:48:37.3
19:33:46.43 -57:06:52.9
16:29:07.99 -38:26:31.2
08:07:56.04 -54:20:31.7
08:36:18.61 -42:33:16.6
09:05:03.86 -60:15:51.8
09:19:44.77 -60:42:31.6
09:49:30.46 -69:02:09.5
10:36:19.72 -65:58:26.3
10:54:06 -59:44:05
11:05:23.6 -43:57:01.0
11:32:14.509 -47:00:35.9
11:43:05.43 -55:35:09.8
12:27:00.44 -62:08:43.78
12:37:36 -67:27:40
12:52:11.15 -74:08:51.1
14:09:00 -69:54:36
13:30:55.56 -52:46:08.3
13:46:28.14 -49:17:00.1
14:17:31.06 -50:36:15.8
14:32:59.8 -50:32:29
14:43:17 -51:25:47
15:17:24.85 -46:36:31.2
15:30:52.04 -63:43:32.5
15:34:47.56 -44:29:12.5
15:39:42 -48:29:04.0
15:52:01.52 -44:27:10.0
15:51:29.41 -62:14:31.4
16:08:14.8 -64:49:32.0
16:12:27.3 -58:05:55
16:14:53.160 -38:46:02.900
16:22:05.26 -37:47:07.7
16:22:44.8 -49:50:54.4
16:25:16.1 -49:14:35
16:25:54.8 -66:20:59.3
16:27:48.37 -59:37:33.4
16:29:45 -36:35:51
16:34:05.54 -56:32:15.4
16:36:15.22 -26:15:04.3
16:38:30.5 -42:33:56.4
16:47:49 -36:05:00
16:49:10.15 -60:45:04.7
17:00:52 -44:19:00
17:03:59.760 -52:43:19.600
17:04:37.33 -52:36:11.2
17:05:06 -61:37:55.0
17:05:41.0 -43:35:19.3
17:09:40.28 -44:01:16.4
17:10:01.09 -26:18:06.2
17:08:55.55 -66:22:17.2
